transaction_id,transaction_date,account_id,amount,merchant,category
100001,2025-12-21,ACC1001,52.34,Walmart,Groceries
100002,2025-12-21,ACC1002,-23.50,Uber,Transport
100003,2025-12-21,ACC1003,1500.00,Acme Corp,Salary
100004,2025-12-21,ACC1004,-45.67,Starbucks,Coffee
100005,2025-12-21,ACC1005,-120.00,Amazon,Shopping
100006,2025-12-21,ACC1006,-60.25,Shell,Utilities
100007,2025-12-21,ACC1007,200.00,PayPal,Transfer
100008,2025-12-21,ACC1008,-15.99,Netflix,Entertainment
100009,2025-12-21,ACC1009,-80.00,Apple Store,Electronics
100010,2025-12-21,ACC1010,-32.10,Whole Foods,Groceries
100011,2025-12-21,ACC1011,-8.50,McDonald's,Food
100012,2025-12-21,ACC1012,-55.00,Best Buy,Electronics
100013,2025-12-21,ACC1013,300.00,Venmo,Transfer
100014,2025-12-21,ACC1014,-12.75,Spotify,Entertainment
100015,2025-12-21,ACC1015,-100.00,Target,Shopping
100016,2025-12-21,ACC1016,-45.00,Uber Eats,Food
100017,2025-12-21,ACC1017,-60.00,PG&E,Utilities
100018,2025-12-21,ACC1018,1200.00,Globex Corp,Salary
100019,2025-12-21,ACC1019,-25.00,Subway,Food
100020,2025-12-21,ACC1020,-90.00,Home Depot,Shopping
100021,2025-12-21,ACC1021,-14.99,Hulu,Entertainment
100022,2025-12-21,ACC1022,-75.00,Chevron,Utilities
100023,2025-12-21,ACC1023,500.00,PayPal,Transfer
100024,2025-12-21,ACC1024,-22.50,Domino's,Food
100025,2025-12-21,ACC1025,-60.00,Costco,Groceries
100026,2025-12-21,ACC1026,-35.00,Lyft,Transport
100027,2025-12-21,ACC1027,-110.00,Apple Store,Electronics
100028,2025-12-21,ACC1028,-18.00,Starbucks,Coffee
100029,2025-12-21,ACC1029,250.00,Venmo,Transfer
100030,2025-12-21,ACC1030,-40.00,Amazon,Shopping
100031,2025-12-21,ACC1031,-55.00,PG&E,Utilities
100032,2025-12-21,ACC1032,-13.99,Disney+,Entertainment
100033,2025-12-21,ACC1033,-27.00,Uber,Transport
100034,2025-12-21,ACC1034,-70.00,Target,Shopping
100035,2025-12-21,ACC1035,1800.00,Initech,Salary
100036,2025-12-21,ACC1036,-19.50,Panera Bread,Food
100037,2025-12-21,ACC1037,-65.00,Costco,Groceries
100038,2025-12-21,ACC1038,-12.00,Spotify,Entertainment
100039,2025-12-21,ACC1039,-85.00,Shell,Utilities
100040,2025-12-21,ACC1040,400.00,PayPal,Transfer
