txn_id,customer_id,transaction_date,amount,currency
T01000,5,2025-11-04,184.01,USD
T01001,20,2025-11-04,238.8,ILS
T01002,9,2025-11-04,236.82,EUR
T01003,7,2025-11-04,411.81,EUR
T01004,9,2025-11-04,279.76,USD
T01005,12,2025-11-04,363.56,ILS
T01006,20,2025-11-04,320.78,EUR
T01007,5,2025-11-04,254.25,EUR
T01008,12,2025-11-04,483.29,USD
T01009,12,2025-11-04,247.25,ILS
T01010,6,2025-11-04,400.89,USD
T01011,7,2025-11-04,287.71,USD
T01012,5,2025-11-04,262.41,EUR
T01013,5,2025-11-04,243.03,ILS
T01014,13,2025-11-04,221.67,EUR
