transaction_id,user_id,account_id,transaction_date,transaction_time,amount,currency,merchant,category,transaction_type,status,location,device,balance_after,notes
T000002,5502,58067,2023-10-28,05:31:19,-1679.69,EUR,Google,Entertainment,Debit,Pending,Berlin,Web,19849.21,Refund
T000003,2358,93516,2022-09-29,05:44:16,562.32,EUR,Walmart,Entertainment,Credit,Failed,London,Web,17361.33,Rent payment
T000005,1014,54886,2020-10-19,03:26:00,2588.03,EUR,Google,Groceries,Debit,Completed,New York,Mobile,8448.46,Refund
T000006,6908,78288,2023-07-31,18:26:03,2718.01,EUR,Walmart,Groceries,Debit,Pending,London,POS,2584.22,Gift
T000007,1292,85999,2022-12-19,23:50:10,2467.5,EUR,Walmart,Groceries,Credit,Completed,London,Web,1321.19,Bonus
T000010,7411,66151,2021-04-18,01:38:43,4035.63,EUR,Google,Entertainment,Credit,Pending,London,Web,14838.85,Refund
T000012,7689,86415,2023-05-05,16:25:51,-769.72,ILS,Apple,Entertainment,Debit,Pending,Tel Aviv,ATM,4853.16,Monthly subscription
T000015,4616,85057,2023-05-05,10:26:27,-1289.56,ILS,IKEA,Travel,Credit,Completed,London,Web,16106.33,Monthly subscription
T000017,3092,97087,2022-12-11,18:51:11,2609.9,USD,Tesla,Electronics,Credit,Completed,New York,ATM,6459.91,Bonus
T000020,1161,32717,2023-11-01,22:34:08,-443.05,GBP,Google,Groceries,Credit,Completed,Berlin,Web,3336.02,Gift
T000025,9982,69403,2021-04-24,01:34:28,1913.33,GBP,Amazon,Utilities,Debit,Failed,Tel Aviv,Web,10554.21,Rent payment
T000026,9391,33835,2021-11-30,17:15:26,1039.54,EUR,IKEA,Utilities,Debit,Completed,Berlin,POS,16106.98,Monthly subscription
T000027,6032,68528,2020-07-20,23:03:56,-1380.65,GBP,Walmart,Entertainment,Credit,Completed,London,ATM,14812.2,Refund
T000029,1838,69848,2020-12-12,00:10:12,-3895.98,GBP,Tesla,Utilities,Debit,Completed,London,Mobile,7240.1,Gift
T000031,1713,71368,2020-12-27,13:19:31,-3500.0,GBP,Walmart,Salary,Credit,Completed,Berlin,ATM,12.13,Gift
T000032,6835,73106,2021-02-02,12:29:43,-1009.91,USD,IKEA,Utilities,Credit,Pending,Berlin,Mobile,19685.96,Monthly subscription
